ticker,exchange,industry,first_trading_year
AACB,NASDAQ,Financial,2025
AACBR,NASDAQ,Unknown,2025
AACBU,NASDAQ,Financial,2025
AACG,NASDAQ,Consumer Goods,
AACI,NASDAQ,Financial,2026
AACIU,NASDAQ,Financial,2026
AACIW,NASDAQ,Unknown,2026
AACO,NASDAQ,Financial,2026
AACOU,NASDAQ,Financial,2026
AACOW,NASDAQ,Unknown,2026
AACPU,NASDAQ,Financial,2026
AAL,NASDAQ,Transportation,
AAME,NASDAQ,Financial,
AAOI,NASDAQ,Technology,
AAON,NASDAQ,Industrial,
AAPG,NASDAQ,Healthcare,
AAPL,NASDAQ,Technology,
AARD,NASDAQ,Healthcare,2025
ABAT,NASDAQ,Industrial,2023
ABCL,NASDAQ,Healthcare,2020
ABEO,NASDAQ,Healthcare,
ABLV,NASDAQ,Retail,2023
ABLVW,NASDAQ,Unknown,2023
ABNB,NASDAQ,Retail,2020
ABOS,NASDAQ,Healthcare,2021
ABSI,NASDAQ,Healthcare,2021
ABTC,NASDAQ,Financial,
ABTS,NASDAQ,Financial,
ABUS,NASDAQ,Healthcare,
ABVC,NASDAQ,Healthcare,2021
ABVE,NASDAQ,Consumer Goods,2024
ABVEW,NASDAQ,Unknown,2024
ABVX,NASDAQ,Healthcare,2023
ACAA,NASDAQ,Financial,2026
ACAAU,NASDAQ,Financial,2026
ACAAW,NASDAQ,Unknown,2026
ACAD,NASDAQ,Healthcare,
ACB,NASDAQ,Healthcare,2021
ACCL,NASDAQ,Business Services,2025
ACDC,NASDAQ,Oil & Energy,
ACET,NASDAQ,Healthcare,
ACFN,NASDAQ,Technology,2025
ACGCU,NASDAQ,Financial,2026
ACGL,NASDAQ,Financial,
ACGLN,NASDAQ,Financial,
ACGLO,NASDAQ,Financial,
ACHC,NASDAQ,Healthcare,
ACHV,NASDAQ,Healthcare,
ACIC,NASDAQ,Financial,
ACIU,NASDAQ,Healthcare,
ACIW,NASDAQ,Technology,
ACLS,NASDAQ,Technology,
ACMR,NASDAQ,Technology,
ACNB,NASDAQ,Financial,
ACNT,NASDAQ,Materials,
ACOG,NASDAQ,Healthcare,2024
ACON,NASDAQ,Healthcare,
ACONW,NASDAQ,Unknown,
ACRS,NASDAQ,Healthcare,
ACRV,NASDAQ,Healthcare,2022
ACT,NASDAQ,Financial,2021
ACTG,NASDAQ,Industrial,
ACTU,NASDAQ,Healthcare,2024
